2017-12-01 10:43:31,model=Lenovo PB2-690Y_device=PB2PRO,32.172231912705875,34.814329034718796,21.371510446561043,1,a4:2b:b0:ad:2d:34,lellouche,5,-93.0
2017-12-01 10:43:34,model=Lenovo PB2-690Y_device=PB2PRO,32.17227435656938,34.81404639709304,22.952037106652547,1,20:0c:c8:1b:a2:48,Mevohot_1,6,-95.0
2017-12-01 10:43:37,model=Lenovo PB2-690Y_device=PB2PRO,32.172116632247494,34.81299031977932,30.5957336719585,3,80:26:89:0d:4f:84,DIR-825-4f83,1,-73.0,74:da:38:14:1f:8d,sellahome_2EX,9,-82.0,60:e3:27:e8:41:e8,Mevohot_3,11,-86.0
2017-12-01 10:43:40,model=Lenovo PB2-690Y_device=PB2PRO,32.17153149116415,34.81341312121529,28.986374090406013,6,06:ae:db:ba:1e:85,BezeqFree,11,-81.0,d8:fb:5e:17:47:f8,sellahome,9,-83.0,14:ae:db:c1:ad:7d,shweiger1,1,-84.0,10:0d:7f:80:17:80,ELDAD,11,-87.0,08:3e:5d:5c:72:5e,Lahav,11,-89.0,c4:a8:1d:12:7d:4c,Orit,6,-91.0
2017-12-01 10:43:43,model=Lenovo PB2-690Y_device=PB2PRO,32.171100172007286,34.813358775864664,24.945209470200552,2,10:0d:7f:80:17:80,ELDAD,11,-73.0,06:ae:db:c1:ad:7d,BezeqFree,1,-87.0
2017-12-01 10:43:46,model=Lenovo PB2-690Y_device=PB2PRO,32.172231912705875,34.81432903471879,21.371510446561043,2,80:1f:02:e8:b9:cc,Eldad_2EX,11,-81.0,30:b5:c2:6e:12:d4,HOTBOX1234,1,-88.0
2017-12-01 10:43:49,model=Lenovo PB2-690Y_device=PB2PRO,32.172231912705875,34.81432903471878,21.371510446561047,1,00:78:9e:f9:f5:5b,HOTBOX1234,1,-82.0
2017-12-01 10:43:52,model=Lenovo PB2-690Y_device=PB2PRO,32.172074830944624,34.81272412739594,26.46366627104517,1,c4:12:f5:85:27:c2,varda,1,-95.0
2017-12-01 10:43:55,model=Lenovo PB2-690Y_device=PB2PRO,32.17206921676169,34.812983020613395,30.509398946195574,2,80:26:89:0d:4f:84,DIR-825-4f83,1,-77.0,00:78:9e:fa:0e:5c,Miller,1,-94.0
2017-12-01 10:43:58,model=Lenovo PB2-690Y_device=PB2PRO,32.172231912705875,34.81432903471879,21.371510446561043,1,50:c7:bf:36:df:98,Gil-Up,2,-89.0
2017-12-01 10:44:01,model=Lenovo PB2-690Y_device=PB2PRO,32.170922259989915,34.81147796579466,30.69144851074828,5,7c:b7:33:97:35:f1,U2I8L1M0X42,1,-73.0,c4:12:f5:85:27:c2,varda,1,-90.0,00:f6:63:15:58:81,KaymeraDev,1,-93.0,c4:04:15:60:6a:b5,Ben Ami_2.4,11,-93.0,00:f6:63:15:58:82,KaymeraGuest,1,-93.0
2017-12-01 10:44:04,model=Lenovo PB2-690Y_device=PB2PRO,32.172008859119735,34.81333367825944,23.794724512383794,2,c4:04:15:60:6a:b5,Ben Ami_2.4,11,-84.0,54:b8:0a:34:68:90,Shani - Green,6,-95.0
2017-12-01 10:44:07,model=Lenovo PB2-690Y_device=PB2PRO,32.17197547084628,34.8131560628985,24.688065617382428,2,c4:04:15:60:6a:b5,Ben Ami_2.4,11,-77.0,6c:b0:ce:2f:43:36,Hilush111,1,-92.0
2017-12-01 10:44:10,model=Lenovo PB2-690Y_device=PB2PRO,32.172231912705875,34.814329034718796,21.371510446561043,1,80:1f:02:a3:7d:62,Gil Kitchen,6,-96.0
2017-12-01 10:44:16,model=Lenovo PB2-690Y_device=PB2PRO,32.172231912705875,34.814329034718796,21.371510446561043,1,d8:fb:5e:17:1b:d6,DAVID,11,-96.0
